ko	pathway	product	map
V1437990	K00016	Pyruvate metabolism	L-lactate dehydrogenase	map00620
V1438038	K01239	Purine metabolism	purine nucleosidase	map00230
V1438089	K00656	Pyruvate metabolism	formate C-acetyltransferase	map00620
V1438325	K06207	Signaling proteins	GTP-binding protein	99995
V1438435	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1438494	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1438690	K01897	Fatty acid biosynthesis	long-chain acyl-CoA synthetase	map00061
V1438772	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1438781	K00656	Pyruvate metabolism	formate C-acetyltransferase	map00620
V1439025	K09014	General function prediction only	Fe-S cluster assembly protein SufB	99996
V1439138	K07498	Replication and repair	putative transposase	99976
V1439152	K03977	Ribosome biogenesis	GTPase	ko03009
V1439181	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1439186	K02884	Ribosome	large subunit ribosomal protein L19	map03010
V1439190	K02926	Ribosome	large subunit ribosomal protein L4	map03010
V1439197	K00088	Purine metabolism	IMP dehydrogenase	map00230
V1439206	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1439225	K06153	Peptidoglycan biosynthesis	undecaprenyl-diphosphatase	map00550
V1439240	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1439248	K01876	Aminoacyl-tRNA biosynthesis	aspartyl-tRNA synthetase	map00970
V1439273	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1439349	K00537	Enzymes with EC numbers	arsenate reductase (glutaredoxin)	99980
V1439382	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1439755	K06925	Transfer RNA biogenesis	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE	ko03016
V1439804	K02892	Ribosome	large subunit ribosomal protein L23	map03010
V1439903	K03311	Transport	branched-chain amino acid:cation transporter, LIVCS family	99977
V1439909	K03110	Protein export	fused signal recognition particle receptor	map03060
V1439934	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1439945	K02004	Transporters	putative ABC transport system permease protein	ko02000
V1440023	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1440053	K03168	DNA replication proteins	DNA topoisomerase I	ko03032
V1440057	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1440069	K06889	Function unknown	uncharacterized protein	99997
V1440138	K11754	Folate biosynthesis	dihydrofolate synthase / folylpolyglutamate synthase	map00790
V1440254	K01187	Starch and sucrose metabolism	alpha-glucosidase	map00500
V1440258	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1440261	K06147	Transporters	ATP-binding cassette, subfamily B, bacterial	ko02000
V1440264	K00540	Enzymes with EC numbers	F420H(2)-dependent quinone reductase	99980
V1440287	K04043	Molecular chaperones	molecular chaperone DnaK	ko03110
V1440314	K01868	Aminoacyl-tRNA biosynthesis	threonyl-tRNA synthetase	map00970
V1440318	K01870	Aminoacyl-tRNA biosynthesis	isoleucyl-tRNA synthetase	map00970
V1440320	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1440329	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1440336	K00626	Pyruvate metabolism	acetyl-CoA C-acetyltransferase	map00620
V1440337	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1440338	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1440341	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1440351	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1440366	K01595	Pyruvate metabolism	phosphoenolpyruvate carboxylase	map00620
V1440373	K01928	Peptidoglycan biosynthesis	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	map00550
V1440381	K03696	Protein digestion and absorption	ATP-dependent Clp protease ATP-binding subunit ClpC	map04974
V1440384	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1440386	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1440387	K00525	Purine metabolism	ribonucleoside-diphosphate reductase alpha chain	map00230
V1440389	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1440395	K06999	Others	phospholipase/carboxylesterase	99999
V1440396	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1440400	K03522	Exosome	electron transfer flavoprotein alpha subunit	ko04147
V1440401	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1440406	K02031	Quorum sensing	peptide/nickel transport system ATP-binding protein	map02024
V1440411	K00790	Peptidoglycan biosynthesis	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	map00550
V1440414	K01940	Arginine biosynthesis	argininosuccinate synthase	map00220
V1440415	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1440417	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1440447	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1440527	K01756	Alanine, aspartate and glutamate metabolism	adenylosuccinate lyase	map00250
V1440538	K02004	Transporters	putative ABC transport system permease protein	ko02000
V1440550	K03458	Transport	nucleobase:cation symporter-2, NCS2 family	99977
V1440555	K02109	Oxidative phosphorylation	F-type H+-transporting ATPase subunit b	map00190
V1440582	K01880	Aminoacyl-tRNA biosynthesis	glycyl-tRNA synthetase	map00970
V1440590	K02886	Ribosome	large subunit ribosomal protein L2	map03010
V1440593	K02004	Transporters	putative ABC transport system permease protein	ko02000
V1440621	K02796	Phosphotransferase system (PTS)	mannose PTS system EIID component	map02060
V1440639	K03070	Bacterial secretion system	preprotein translocase subunit SecA	map03070
V1440651	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1440653	K01867	Aminoacyl-tRNA biosynthesis	tryptophanyl-tRNA synthetase	map00970
V1440667	K02406	Flagellar assembly	flagellin	map02040
V1440676	K02406	Flagellar assembly	flagellin	map02040
V1440686	K01552	Transporters	energy-coupling factor transport system ATP-binding protein	ko02000
V1440694	K02933	Ribosome	large subunit ribosomal protein L6	map03010
V1440707	K01803	Glycolysis / Gluconeogenesis	triosephosphate isomerase (TIM)	map00010
V1440753	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1440756	K07259	Peptidoglycan biosynthesis	serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4)	map00550
V1440765	K03043	RNA polymerase	DNA-directed RNA polymerase subunit beta	map03020
V1440767	K02952	Ribosome	small subunit ribosomal protein S13	map03010
V1440773	K02992	Ribosome	small subunit ribosomal protein S7	map03010
V1440817	K02355	Translation factors	elongation factor G	ko03012
V1440821	K01915	Alanine aspartate and glutamate metabolism	glutamine synthetase	map00250
V1440824	K00239	Citrate cycle (TCA cycle)	succinate dehydrogenase flavoprotein subunit	map00020
V1440841	K01610	Glycolysis / Gluconeogenesis	phosphoenolpyruvate carboxykinase (ATP)	map00010
V1440842	K00975	Amino sugar and nucleotide sugar metabolism	glucose-1-phosphate adenylyltransferase	map00520
V1440846	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1440864	K01834	Glycolysis / Gluconeogenesis	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	map00010
V1440877	K02906	Ribosome	large subunit ribosomal protein L3	map03010
V1440901	K03695	Protein digestion and absorption	ATP-dependent Clp protease ATP-binding subunit ClpB	map04974
V1440929	K02358	Translation	elongation factor Tu	ko03012
V1441082	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1441100	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1441127	K02863	Ribosome	large subunit ribosomal protein L1	map03010
V1441155	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1441181	K01881	Aminoacyl-tRNA biosynthesis	prolyl-tRNA synthetase	map00970
V1441265	K02967	Ribosome	small subunit ribosomal protein S2	map03010
V1441275	K06207	Signaling proteins	GTP-binding protein	99995
V1441328	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1441370	K02982	Ribosome	small subunit ribosomal protein S3	map03010
V1441441	K02355	Translation factors	elongation factor G	ko03012
V1441485	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1441492	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1441535	K10108	ABC transporters	maltose/maltodextrin transport system substrate-binding protein	map02010
V1441541	K02034	Quorum sensing	peptide/nickel transport system permease protein	map02024
V1441738	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1441875	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1441938	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1442175	K01876	Aminoacyl-tRNA biosynthesis	aspartyl-tRNA synthetase	map00970
V1442177	K00615	Pentose phosphate pathway	transketolase	map00030
V1442253	K02006	ABC transporters	cobalt/nickel transport system ATP-binding protein	map02010
V1442258	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1442259	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1442272	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1442274	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1442280	K08659	Peptidases and inhibitors	dipeptidase	ko01002
V1442282	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1442309	K03595	Ribosome biogenesis	GTPase	ko03009
V1442315	K01951	Purine metabolism	GMP synthase (glutamine-hydrolysing)	map00230
V1442319	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1442333	K04487	Sulfur relay system	cysteine desulfurase	map04122
V1442352	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1442353	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1442368	K06180	Ribosome biogenesis	23S rRNA pseudouridine1911/1915/1917 synthase	ko03009
V1442370	K03816	Purine metabolism	xanthine phosphoribosyltransferase	map00230
V1442372	K00526	Purine metabolism	ribonucleoside-diphosphate reductase beta chain	map00230
V1442390	K02967	Ribosome	small subunit ribosomal protein S2	map03010
V1442392	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1442393	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1442422	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1442456	K02876	Ribosome	large subunit ribosomal protein L15	map03010
V1442462	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1442466	K03046	RNA polymerase	DNA-directed RNA polymerase subunit beta'	map03020
V1442477	K02073	ABC transporters	D-methionine transport system substrate-binding protein	map02010
V1442485	K00703	Starch and sucrose metabolism	starch synthase	map00500
V1442489	K01507	Oxidative phosphorylation	inorganic pyrophosphatase	map00190
V1442529	K07024	Starch and sucrose metabolism	sucrose-6-phosphatase	map00500
V1442545	K06215	Vitamin B6 metabolism	pyridoxal 5'-phosphate synthase pdxS subunit	map00750
V1442591	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1442592	K00123	Methanoate metabolism	formate dehydrogenase major subunit	map00680
V1442645	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1442655	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1442703	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1442715	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1442733	K00763	Nicotinate and nicotinamide metabolism	nicotinate phosphoribosyltransferase	map00760
V1442734	K10670	Enzymes with EC numbers	glycine/sarcosine/betaine reductase complex component A	99980
V1442746	K01358	Clp-dependent proteolysis	ATP-dependent Clp protease, protease subunit	ko01002
V1442749	K02835	Translation factors	peptide chain release factor 1	ko03012
V1442761	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1442778	K02111	Oxidative phosphorylation	F-type H+/Na+-transporting ATPase subunit alpha	map00190
V1442790	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1442803	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1442845	K00656	Pyruvate metabolism	formate C-acetyltransferase	map00620
V1442852	K13274	Chaperones and folding catalysts	cell wall-associated protease	ko03110
V1442855	K01869	Aminoacyl-tRNA biosynthesis	leucyl-tRNA synthetase	map00970
V1442877	K02111	Oxidative phosphorylation	F-type H+/Na+-transporting ATPase subunit alpha	map00190
V1442878	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1442889	K00128	Fatty acid degradation	aldehyde dehydrogenase (NAD+)	map00071
V1442892	K06960	Function unknown	uncharacterized protein	99997
V1442936	K01465	Pyrimidine metabolism	dihydroorotase	map00240
V1442958	K02982	Ribosome	small subunit ribosomal protein S3	map03010
V1442963	K07010	Peptidases and inhibitors	putative glutamine amidotransferase	ko01002
V1442976	K03431	Amino sugar and nucleotide sugar metabolism	phosphoglucosamine mutase	map00520
V1443015	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1443016	K01507	Oxidative phosphorylation	inorganic pyrophosphatase	map00190
V1443021	K02003	Transporters	putative ABC transport system ATP-binding protein	ko02000
V1443029	K03070	Bacterial secretion system	preprotein translocase subunit SecA	map03070
V1443052	K01925	Peptidoglycan biosynthesis	UDP-N-acetylmuramoylalanine--D-glutamate ligase	map00550
V1443156	K03536	Transfer RNA biogenesis	ribonuclease P protein component	ko03016
V1443178	K02217	Iron acquisition	ferritin	99980
V1443241	K02028	Transporters	polar amino acid transport system ATP-binding protein	ko02000
V1443261	K02470	DNA replication	DNA gyrase subunit B	map03030
V1443302	K01770	Terpenoid backbone biosynthesis	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	map00900
V1443306	K01770	Terpenoid backbone biosynthesis	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	map00900
V1443330	K02864	Ribosome	large subunit ribosomal protein L10	map03010
V1443355	K03293	Transport	amino acid transporter, AAT family	99977
V1443423	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1443487	K00760	Purine metabolism	hypoxanthine phosphoribosyltransferase	map00230
V1443509	K03695	Protein digestion and absorption	ATP-dependent Clp protease ATP-binding subunit ClpB	map04974
V1443652	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1443730	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1443768	K01595	Pyruvate metabolism	phosphoenolpyruvate carboxylase	map00620
V1443843	K07658	Two-component system	two-component system, OmpR family, alkaline phosphatase synthesis response regulator PhoP	map02020
V1443890	K05808	Ribosome biogenesis	ribosome hibernation promoting factor	ko03009
V1444158	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1444185	K00527	Purine metabolism	ribonucleoside-triphosphate reductase (thioredoxin)	map00230
V1444222	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1444229	K04761	Biofilm formation - Escherichia coli	LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator	map02026
V1444362	K03687	Chaperones and folding catalysts	molecular chaperone GrpE	ko03110
V1444394	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1444458	K02795	Phosphotransferase system (PTS)	mannose PTS system EIIC component	map02060
V1444520	K00700	Starch and sucrose metabolism	1,4-alpha-glucan branching enzyme	map00500
V1444555	K02355	Translation factors	elongation factor G	ko03012
V1444714	K02747	Phosphotransferase system (PTS)	N-acetylgalactosamine PTS system EIID component	map02060
V1444715	K01632	Pentose phosphate pathway	NotAssigned	NotAssigned
V1444735	K02358	Translation	elongation factor Tu	ko03012
V1444759	K03046	RNA polymerase	DNA-directed RNA polymerase subunit beta'	map03020
V1445015	K01810	Glycolysis / Gluconeogenesis	glucose-6-phosphate isomerase	map00010
V1445065	K00886	Glycolysis / Gluconeogenesis	polyphosphate glucokinase	map00010
V1445114	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445122	K02988	Ribosome	small subunit ribosomal protein S5	map03010
V1445123	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445130	K07043	Pyrimidine metabolism	UTP pyrophosphatase	map00240
V1445131	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445135	K01239	Purine metabolism	purine nucleosidase	map00230
V1445136	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445137	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445138	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445139	K07478	Replication and repair	putative ATPase	99976
V1445140	K01876	Aminoacyl-tRNA biosynthesis	aspartyl-tRNA synthetase	map00970
V1445141	K07386	Peptidases and inhibitors	putative endopeptidase	ko01002
V1445142	K01265	Peptidases and inhibitors	methionyl aminopeptidase	ko01002
V1445143	K02836	Translation factors	peptide chain release factor 2	ko03012
V1445144	K09812	Chromosome and associated proteins	cell division transport system ATP-binding protein	ko03036
V1445145	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445154	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445157	K01537	Enzymes with EC numbers	P-type Ca2+ transporter type 2C	99980
V1445158	K01200	Starch and sucrose metabolism	pullulanase	map00500
V1445161	K01154	Prokaryotic defense system	type I restriction enzyme, S subunit	ko02048
V1445164	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445167	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445168	K02111	Oxidative phosphorylation	F-type H+/Na+-transporting ATPase subunit alpha	map00190
V1445170	K06207	Signaling proteins	GTP-binding protein	99995
V1445172	K00599	Transfer RNA biogenesis	tRNA N(3)-methylcytidine methyltransferase METTL6	ko03016
V1445174	K00525	Purine metabolism	ribonucleoside-diphosphate reductase alpha chain	map00230
V1445175	K03149	Thiamine metabolism	thiazole synthase	map00730
V1445176	K01783	Pentose phosphate pathway	ribulose-phosphate 3-epimerase	map00030
V1445178	K01182	Starch and sucrose metabolism	oligo-1,6-glucosidase	map00500
V1445181	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445183	K01873	Aminoacyl-tRNA biosynthesis	valyl-tRNA synthetase	map00970
V1445186	K11749	Iron acquisition	regulator of sigma E protease	ko03110
V1445188	K01657	Phenylalanine, tyrosine and tryptophan biosynthesis	anthranilate synthase component I	map00400
V1445189	K02227	Porphyrin metabolism	adenosylcobinamide-phosphate synthase	map00860
V1445190	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445191	K00615	Pentose phosphate pathway	transketolase	map00030
V1445192	K03075	Bacterial secretion system	preprotein translocase subunit SecG	map03070
V1445193	K01955	Alanine, aspartate and glutamate metabolism	carbamoyl-phosphate synthase large subunit	map00250
V1445196	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445198	K03311	Transport	branched-chain amino acid:cation transporter, LIVCS family	99977
V1445199	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445200	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445206	K03578	Messenger RNA biogenesis	ATP-dependent RNA helicase HrpA	ko03019
V1445209	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445211	K11996	Sulfur relay system	adenylyltransferase and sulfurtransferase	map04122
V1445219	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445220	K02967	Ribosome	small subunit ribosomal protein S2	map03010
V1445222	K01834	Glycolysis / Gluconeogenesis	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	map00010
V1445228	K01854	Galactose metabolism	UDP-galactopyranose mutase	map00052
V1445229	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445232	K01897	Fatty acid biosynthesis	long-chain acyl-CoA synthetase	map00061
V1445233	K02834	Ribosome biogenesis	ribosome-binding factor A	ko03009
V1445235	K03040	RNA polymerase	DNA-directed RNA polymerase subunit alpha	map03020
V1445236	K03040	RNA polymerase	DNA-directed RNA polymerase subunit alpha	map03020
V1445238	K01361	Peptidases and inhibitors	lactocepin	ko01002
V1445242	K07230	Transporters	periplasmic iron binding protein	ko02000
V1445243	K07243	Iron acquisition	high-affinity iron transporter	ko02000
V1445244	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445245	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445246	K03497	Transcription factors	ParB family transcriptional regulator, chromosome partitioning protein	ko03000
V1445247	K02519	Translation factors	translation initiation factor IF-2	ko03012
V1445249	K09015	General function prediction only	Fe-S cluster assembly protein SufD	99996
V1445250	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445254	K00359	Enzymes with EC numbers	NADPH:quinone reductase	99980
V1445255	K07230	Transporters	periplasmic iron binding protein	ko02000
V1445256	K02356	Translation factors	elongation factor P	ko03012
V1445258	K07284	Peptidoglycan biosynthesis and degradation proteins	sortase A	ko01011
V1445259	K03458	Transport	nucleobase:cation symporter-2, NCS2 family	99977
V1445260	K01870	Aminoacyl-tRNA biosynthesis	isoleucyl-tRNA synthetase	map00970
V1445262	K00680	Enzymes with EC numbers	uncharacterized N-acetyltransferase	99980
V1445264	K00761	Pyrimidine metabolism	uracil phosphoribosyltransferase	map00240
V1445265	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445267	K11533	Fatty acid biosynthesis	fatty acid synthase, bacteria type	map00061
V1445268	K07183	Two-component system	two-component system, response regulator / RNA-binding antiterminator	ko02022
V1445270	K02036	ABC transporters	phosphate transport system ATP-binding protein	map02010
V1445271	K06901	Transporters	adenine/guanine/hypoxanthine permease	ko02000
V1445272	K01938	One carbon pool by folate	formate--tetrahydrofolate ligase	map00670
V1445273	K02032	Quorum sensing	peptide/nickel transport system ATP-binding protein	map02024
V1445274	K02933	Ribosome	large subunit ribosomal protein L6	map03010
V1445275	K02878	Ribosome	large subunit ribosomal protein L16	map03010
V1445276	K02982	Ribosome	small subunit ribosomal protein S3	map03010
V1445277	K02906	Ribosome	large subunit ribosomal protein L3	map03010
V1445279	K02049	Transporters	NitT/TauT family transport system ATP-binding protein	ko02000
V1445281	K03553	Homologous recombination	recombination protein RecA	map03440
V1445282	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445291	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445292	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445293	K01915	Alanine aspartate and glutamate metabolism	glutamine synthetase	map00250
V1445294	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445295	K01537	Enzymes with EC numbers	P-type Ca2+ transporter type 2C	99980
V1445296	K02034	Quorum sensing	peptide/nickel transport system permease protein	map02024
V1445297	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445298	K02006	ABC transporters	cobalt/nickel transport system ATP-binding protein	map02010
V1445299	K02035	Quorum sensing	peptide/nickel transport system substrate-binding protein	map02024
V1445300	K08300	RNA degradation	ribonuclease E	map03018
V1445302	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445304	K03043	RNA polymerase	DNA-directed RNA polymerase subunit beta	map03020
V1445305	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445306	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445307	K11754	Folate biosynthesis	dihydrofolate synthase / folylpolyglutamate synthase	map00790
V1445308	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445310	K01955	Alanine, aspartate and glutamate metabolism	carbamoyl-phosphate synthase large subunit	map00250
V1445314	K07736	Transcription factors	CarD family transcriptional regulator, regulator of rRNA transcription	ko03000
V1445315	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445316	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445318	K01626	Phenylalanine, tyrosine and tryptophan biosynthesis	3-deoxy-7-phosphoheptulonate synthase	map00400
V1445321	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445335	K03723	Nucleotide excision repair	transcription-repair coupling factor (superfamily II helicase)	map03420
V1445336	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445337	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445339	K01641	Butanoate metabolism	hydroxymethylglutaryl-CoA synthase	map00650
V1445342	K03106	Protein export	signal recognition particle subunit SRP54	map03060
V1445343	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445344	K02004	Transporters	putative ABC transport system permease protein	ko02000
V1445345	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445346	K11754	Folate biosynthesis	dihydrofolate synthase / folylpolyglutamate synthase	map00790
V1445347	K03046	RNA polymerase	DNA-directed RNA polymerase subunit beta'	map03020
V1445348	K03596	Legionellosis	GTP-binding protein LepA	map05134
V1445350	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445351	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445352	K00599	Transfer RNA biogenesis	tRNA N(3)-methylcytidine methyltransferase METTL6	ko03016
V1445353	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445355	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445356	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445357	K02006	ABC transporters	cobalt/nickel transport system ATP-binding protein	map02010
V1445358	K00033	Pentose phosphate pathway	6-phosphogluconate dehydrogenase	map00030
V1445359	K00525	Purine metabolism	ribonucleoside-diphosphate reductase alpha chain	map00230
V1445360	K00925	Citrate cycle (TCA cycle)	acetate kinase	map00620
V1445361	K02337	DNA replication	DNA polymerase III subunit alpha	map03030
V1445363	K03601	Mismatch repair	exodeoxyribonuclease VII large subunit	map03430
V1445364	K01256	Glutathione metabolism	aminopeptidase N	map00480
V1445367	K02111	Oxidative phosphorylation	F-type H+/Na+-transporting ATPase subunit alpha	map00190
V1445368	K00549	Cysteine and methionine metabolism	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	map00270
V1445371	K01826	Tyrosine metabolism	5-carboxymethyl-2-hydroxymuconate isomerase	map00350
V1445372	K01955	Alanine, aspartate and glutamate metabolism	carbamoyl-phosphate synthase large subunit	map00250
V1445375	K00790	Peptidoglycan biosynthesis	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	map00550
V1445377	K02355	Translation factors	elongation factor G	ko03012
V1445382	K01191	Fructose and mannose metabolism	alpha-mannosidase	map00051
V1445383	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445384	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445386	K07386	Peptidases and inhibitors	putative endopeptidase	ko01002
V1445388	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445389	K01834	Glycolysis / Gluconeogenesis	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	map00010
V1445390	K01872	Aminoacyl-tRNA biosynthesis	alanyl-tRNA synthetase	map00970
V1445391	K11263	Fatty acid biosynthesis	acetyl-CoA/propionyl-CoA/long-chain acyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein	map00061
V1445392	K01966	Citrate cycle (TCA cycle)	propionyl-CoA carboxylase beta subunit	map00640
V1445393	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445394	K02004	Transporters	putative ABC transport system permease protein	ko02000
V1445395	K02050	Transporters	NitT/TauT family transport system permease protein	ko02000
V1445397	K01875	Aminoacyl-tRNA biosynthesis	seryl-tRNA synthetase	map00970
V1445399	K09762	Chromosome and associated proteins	cell division protein WhiA	ko03036
V1445400	K02963	Ribosome	small subunit ribosomal protein S18	map03010
V1445404	K01892	Aminoacyl-tRNA biosynthesis	histidyl-tRNA synthetase	map00970
V1445406	K02440	Transporters	glycerol uptake facilitator	ko02000
V1445416	K08659	Peptidases and inhibitors	dipeptidase	ko01002
V1445417	K08884	Protein kinases	serine/threonine protein kinase, bacterial	ko01001
V1445419	K00873	Glycolysis / Gluconeogenesis	pyruvate kinase	map00010
V1445422	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445423	K03695	Protein digestion and absorption	ATP-dependent Clp protease ATP-binding subunit ClpB	map04974
V1445426	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445427	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445428	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445429	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445431	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445432	K01537	Enzymes with EC numbers	P-type Ca2+ transporter type 2C	99980
V1445435	K03086	Transcription machinery	RNA polymerase primary sigma factor	ko03021
V1445437	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445438	NotAssigned	NotAssigned	NotAssigned	NotAssigned
